City,Date,Month,Predicted Temperature (°C),Predicted Units Consumed (kWh)
Bhopal,2025-05-30,May,35.36,668.72
Bhopal,2025-05-31,May,39.72,621.79
Bhopal,2025-06-01,June,38.08,609.97
Bhopal,2025-06-02,June,39.6,705.66
Bhopal,2025-06-03,June,40.71,682.92
Bhopal,2025-06-04,June,36.66,603.81
Bhopal,2025-06-05,June,35.32,566.07
Bhopal,2025-06-06,June,38.9,625.25
Bhopal,2025-06-07,June,42.24,680.67
Bhopal,2025-06-08,June,37.91,684.41
Bhopal,2025-06-09,June,43.46,710.38
Bhopal,2025-06-10,June,43.01,591.51
Bhopal,2025-06-11,June,40.03,573.33
Bhopal,2025-06-12,June,39.34,711.84
Bhopal,2025-06-13,June,37.35,653.55
Bhopal,2025-06-14,June,38.28,704.59
Bhopal,2025-06-15,June,41.09,725.11
Bhopal,2025-06-16,June,35.1,658.66
Bhopal,2025-06-17,June,43.75,606.95
Bhopal,2025-06-18,June,41.92,673.4
Bhopal,2025-06-19,June,38.06,556.16
Bhopal,2025-06-20,June,38.31,710.04
Bhopal,2025-06-21,June,43.54,585.89
Bhopal,2025-06-22,June,36.28,670.64
Bhopal,2025-06-23,June,37.69,737.71
Bhopal,2025-06-24,June,34.08,583.19
Bhopal,2025-06-25,June,34.81,652.72
Bhopal,2025-06-26,June,42.11,644.79
Bhopal,2025-06-27,June,39.89,554.06
Bhopal,2025-06-28,June,34.52,582.33
Bhopal,2025-06-29,June,35.62,655.25
Bhopal,2025-06-30,June,36.26,716.24
Bhopal,2025-07-01,July,40.51,595.19
Bhopal,2025-07-02,July,34.97,632.36
Bhopal,2025-07-03,July,34.39,658.23
Bhopal,2025-07-04,July,38.34,619.67
Bhopal,2025-07-05,July,34.32,666.89
Bhopal,2025-07-06,July,34.15,737.29
Bhopal,2025-07-07,July,43.59,605.13
Bhopal,2025-07-08,July,40.47,688.07
Bhopal,2025-07-09,July,42.41,698.52
Bhopal,2025-07-10,July,43.73,665.4
Bhopal,2025-07-11,July,40.41,625.95
Bhopal,2025-07-12,July,39.83,563.45
Bhopal,2025-07-13,July,42.79,671.32
Bhopal,2025-07-14,July,35.54,579.63
Bhopal,2025-07-15,July,40.04,622.21
Bhopal,2025-07-16,July,39.86,711.36
Bhopal,2025-07-17,July,36.8,583.72
Bhopal,2025-07-18,July,42.58,667.63
Bhopal,2025-07-19,July,41.84,564.52
Bhopal,2025-07-20,July,35.75,652.23
Bhopal,2025-07-21,July,39.79,644.99
Bhopal,2025-07-22,July,42.41,614.78
Bhopal,2025-07-23,July,38.87,638.52
Bhopal,2025-07-24,July,38.95,647.58
Bhopal,2025-07-25,July,42.98,585.76
Bhopal,2025-07-26,July,42.01,620.74
Bhopal,2025-07-27,July,36.63,554.17
Bhopal,2025-07-28,July,37.92,603.5
Bhopal,2025-07-29,July,41.74,573.23
Bhopal,2025-07-30,July,37.82,701.57
Bhopal,2025-07-31,July,43.61,577.06
Bhopal,2025-08-01,August,29.12,566.45
Bhopal,2025-08-02,August,28.89,478.43
Bhopal,2025-08-03,August,29.99,532.09
Bhopal,2025-08-04,August,30.34,520.56
Bhopal,2025-08-05,August,31.77,482.02
Bhopal,2025-08-06,August,34.21,532.87
Bhopal,2025-08-07,August,28.53,497.38
Bhopal,2025-08-08,August,32.03,484.2
Bhopal,2025-08-09,August,33.27,537.63
Bhopal,2025-08-10,August,29.92,459.12
Bhopal,2025-08-11,August,34.13,495.34
Bhopal,2025-08-12,August,28.27,524.16
Bhopal,2025-08-13,August,30.05,511.78
Bhopal,2025-08-14,August,28.39,532.11
Bhopal,2025-08-15,August,31.56,476.05
Bhopal,2025-08-16,August,31.77,520.68
Bhopal,2025-08-17,August,32.23,551.92
Bhopal,2025-08-18,August,30.39,482.48
Bhopal,2025-08-19,August,31.42,461.64
Bhopal,2025-08-20,August,29.11,492.05
Bhopal,2025-08-21,August,34.15,454.35
Bhopal,2025-08-22,August,29.13,567.06
Bhopal,2025-08-23,August,32.42,592.21
Bhopal,2025-08-24,August,31.31,464.61
Bhopal,2025-08-25,August,34.71,488.34
Bhopal,2025-08-26,August,31.89,552.05
Bhopal,2025-08-27,August,30.41,493.45
Bhopal,2025-08-28,August,30.28,476.81
Bhopal,2025-08-29,August,34.23,493.15
Bhopal,2025-08-30,August,33.79,510.18
Bhopal,2025-08-31,August,33.82,515.94
Bhopal,2025-09-01,September,34.94,580.09
Bhopal,2025-09-02,September,33.06,532.14
Bhopal,2025-09-03,September,33.13,519.32
Bhopal,2025-09-04,September,34.38,479.16
Bhopal,2025-09-05,September,28.27,479.29
Bhopal,2025-09-06,September,30.93,470.95
Bhopal,2025-09-07,September,33.06,514.58
Bhopal,2025-09-08,September,34.67,459.06
Bhopal,2025-09-09,September,29.7,558.47
Bhopal,2025-09-10,September,30.99,486.25
Bhopal,2025-09-11,September,33.62,573.75
Bhopal,2025-09-12,September,34.92,554.6
Bhopal,2025-09-13,September,32.52,596.45
Bhopal,2025-09-14,September,32.03,458.22
Bhopal,2025-09-15,September,31.15,456.72
Bhopal,2025-09-16,September,32.31,458.2
Bhopal,2025-09-17,September,33.36,554.98
Bhopal,2025-09-18,September,32.34,589.21
Bhopal,2025-09-19,September,29.95,574.22
Bhopal,2025-09-20,September,29.92,471.74
Bhopal,2025-09-21,September,34.22,459.7
Bhopal,2025-09-22,September,29.92,450.03
Bhopal,2025-09-23,September,32.19,485.4
Bhopal,2025-09-24,September,30.25,458.32
Bhopal,2025-09-25,September,33.26,502.41
Bhopal,2025-09-26,September,33.6,453.66
Bhopal,2025-09-27,September,29.4,575.77
Bhopal,2025-09-28,September,30.87,497.6
Bhopal,2025-09-29,September,28.3,558.69
Bhopal,2025-09-30,September,34.4,473.77
Bhopal,2025-10-01,October,24.51,418.62
Bhopal,2025-10-02,October,24.98,499.77
Bhopal,2025-10-03,October,25.8,371.37
Bhopal,2025-10-04,October,20.98,497.41
Bhopal,2025-10-05,October,27.9,451.38
Bhopal,2025-10-06,October,25.75,411.05
Bhopal,2025-10-07,October,21.77,422.31
Bhopal,2025-10-08,October,27.4,475.72
Bhopal,2025-10-09,October,24.74,461.33
Bhopal,2025-10-10,October,22.24,378.02
Bhopal,2025-10-11,October,23.32,471.45
Bhopal,2025-10-12,October,24.08,387.64
Bhopal,2025-10-13,October,26.61,411.42
Bhopal,2025-10-14,October,22.84,388.72
Bhopal,2025-10-15,October,27.07,474.9
Bhopal,2025-10-16,October,25.31,482.94
Bhopal,2025-10-17,October,23.97,384.17
Bhopal,2025-10-18,October,23.18,379.55
Bhopal,2025-10-19,October,25.56,363.58
Bhopal,2025-10-20,October,27.25,486.2
Bhopal,2025-10-21,October,24.15,438.39
Bhopal,2025-10-22,October,22.63,399.84
Bhopal,2025-10-23,October,26.97,391.09
Bhopal,2025-10-24,October,21.39,489.24
Bhopal,2025-10-25,October,23.44,418.53
Bhopal,2025-10-26,October,23.62,490.29
Bhopal,2025-10-27,October,22.52,460.44
Bhopal,2025-10-28,October,23.01,425.52
Bhopal,2025-10-29,October,25.92,477.75
Bhopal,2025-10-30,October,20.05,491.68
Bhopal,2025-10-31,October,24.91,450.8
Bhopal,2025-11-01,November,25.42,393.55
Bhopal,2025-11-02,November,24.36,350.37
Bhopal,2025-11-03,November,27.87,363.08
Bhopal,2025-11-04,November,26.97,356.53
Bhopal,2025-11-05,November,22.61,418.72
Bhopal,2025-11-06,November,24.99,405.44
Bhopal,2025-11-07,November,27.08,480.23
Bhopal,2025-11-08,November,21.23,355.39
Bhopal,2025-11-09,November,23.11,433.61
Bhopal,2025-11-10,November,26.97,447.3
Bhopal,2025-11-11,November,21.96,494.33
Bhopal,2025-11-12,November,23.8,457.52
Bhopal,2025-11-13,November,24.59,434.79
Bhopal,2025-11-14,November,26.39,456.28
Bhopal,2025-11-15,November,23.2,391.98
Bhopal,2025-11-16,November,24.78,410.64
Bhopal,2025-11-17,November,20.38,419.61
Bhopal,2025-11-18,November,21.33,429.37
Bhopal,2025-11-19,November,26.28,420.14
Bhopal,2025-11-20,November,24.39,491.51
Bhopal,2025-11-21,November,27.08,453.64
Bhopal,2025-11-22,November,23.46,407.68
Bhopal,2025-11-23,November,25.7,416.32
Bhopal,2025-11-24,November,27.62,388.97
Bhopal,2025-11-25,November,27.43,375.01
Bhopal,2025-11-26,November,22.34,375.95
Bhopal,2025-11-27,November,20.81,404.4
Bhopal,2025-11-28,November,27.53,459.92
Bhopal,2025-11-29,November,23.41,402.4
Bhopal,2025-11-30,November,20.38,466.38
Bhopal,2025-12-01,December,26.66,400.9
Bhopal,2025-12-02,December,27.61,439.16
Bhopal,2025-12-03,December,26.88,491.92
Bhopal,2025-12-04,December,22.04,480.85
Bhopal,2025-12-05,December,21.38,441.25
Bhopal,2025-12-06,December,21.58,366.76
Bhopal,2025-12-07,December,20.14,439.89
Bhopal,2025-12-08,December,21.08,395.22
Bhopal,2025-12-09,December,22.42,462.97
Bhopal,2025-12-10,December,25.09,355.15
Bhopal,2025-12-11,December,23.29,433.9
Bhopal,2025-12-12,December,25.4,467.91
Bhopal,2025-12-13,December,25.29,362.56
Bhopal,2025-12-14,December,27.62,431.98
Bhopal,2025-12-15,December,25.46,430.5
Bhopal,2025-12-16,December,24.72,475.36
Bhopal,2025-12-17,December,21.89,474.89
Bhopal,2025-12-18,December,27.82,419.56
Bhopal,2025-12-19,December,27.7,484.0
Bhopal,2025-12-20,December,25.4,370.48
Bhopal,2025-12-21,December,26.74,417.93
Bhopal,2025-12-22,December,22.44,426.63
Bhopal,2025-12-23,December,20.41,450.75
Bhopal,2025-12-24,December,23.79,445.27
Bhopal,2025-12-25,December,24.25,368.52
Bhopal,2025-12-26,December,21.86,457.88
Bhopal,2025-12-27,December,21.23,407.13
Bhopal,2025-12-28,December,27.69,437.75
Bhopal,2025-12-29,December,21.65,428.78
Bhopal,2025-12-30,December,20.49,420.55
Bhopal,2025-12-31,December,22.18,394.6
Indore,2025-01-01,January,22.85,359.09
Indore,2025-01-02,January,21.52,471.32
Indore,2025-01-03,January,21.79,465.58
Indore,2025-01-04,January,27.19,357.8
Indore,2025-01-05,January,22.39,483.77
Indore,2025-01-06,January,26.6,443.51
Indore,2025-01-07,January,22.25,405.54
Indore,2025-01-08,January,25.43,412.79
Indore,2025-01-09,January,25.44,397.29
Indore,2025-01-10,January,21.31,443.85
Indore,2025-01-11,January,27.56,455.64
Indore,2025-01-12,January,23.85,480.29
Indore,2025-01-13,January,26.94,397.4
Indore,2025-01-14,January,27.96,357.4
Indore,2025-01-15,January,26.36,458.08
Indore,2025-01-16,January,22.4,451.58
Indore,2025-01-17,January,25.27,410.4
Indore,2025-01-18,January,25.45,354.66
Indore,2025-01-19,January,21.85,369.85
Indore,2025-01-20,January,21.98,422.37
Indore,2025-01-21,January,20.85,439.68
Indore,2025-01-22,January,23.82,476.13
Indore,2025-01-23,January,25.74,354.73
Indore,2025-01-24,January,26.45,455.54
Indore,2025-01-25,January,23.13,493.0
Indore,2025-01-26,January,26.0,369.45
Indore,2025-01-27,January,27.21,438.05
Indore,2025-01-28,January,22.71,424.75
Indore,2025-01-29,January,27.41,481.25
Indore,2025-01-30,January,24.2,430.5
Indore,2025-01-31,January,26.67,363.75
Indore,2025-02-01,February,25.03,377.11
Indore,2025-02-02,February,20.08,434.54
Indore,2025-02-03,February,20.08,400.11
Indore,2025-02-04,February,26.96,362.49
Indore,2025-02-05,February,27.1,421.73
Indore,2025-02-06,February,24.89,360.25
Indore,2025-02-07,February,25.19,431.33
Indore,2025-02-08,February,27.0,432.53
Indore,2025-02-09,February,20.43,485.0
Indore,2025-02-10,February,24.98,424.54
Indore,2025-02-11,February,23.21,362.86
Indore,2025-02-12,February,27.09,428.27
Indore,2025-02-13,February,26.57,455.2
Indore,2025-02-14,February,23.9,432.1
Indore,2025-02-15,February,21.81,375.31
Indore,2025-02-16,February,23.52,483.31
Indore,2025-02-17,February,26.75,351.05
Indore,2025-02-18,February,21.97,443.96
Indore,2025-02-19,February,23.93,474.01
Indore,2025-02-20,February,25.53,433.95
Indore,2025-02-21,February,26.27,373.4
Indore,2025-02-22,February,21.19,480.46
Indore,2025-02-23,February,24.65,434.72
Indore,2025-02-24,February,25.95,479.24
Indore,2025-02-25,February,26.09,351.67
Indore,2025-02-26,February,26.7,452.68
Indore,2025-02-27,February,22.69,476.86
Indore,2025-02-28,February,25.53,382.72
Indore,2025-03-01,March,29.46,477.76
Indore,2025-03-02,March,32.63,530.9
Indore,2025-03-03,March,34.69,494.81
Indore,2025-03-04,March,33.58,473.17
Indore,2025-03-05,March,34.63,597.12
Indore,2025-03-06,March,34.04,570.58
Indore,2025-03-07,March,33.89,469.27
Indore,2025-03-08,March,28.6,532.37
Indore,2025-03-09,March,29.83,510.38
Indore,2025-03-10,March,30.26,469.2
Indore,2025-03-11,March,28.92,574.49
Indore,2025-03-12,March,29.21,576.35
Indore,2025-03-13,March,30.88,584.76
Indore,2025-03-14,March,32.64,461.77
Indore,2025-03-15,March,32.9,524.99
Indore,2025-03-16,March,29.58,514.0
Indore,2025-03-17,March,33.66,546.98
Indore,2025-03-18,March,28.61,453.92
Indore,2025-03-19,March,30.32,535.54
Indore,2025-03-20,March,31.1,475.8
Indore,2025-03-21,March,33.1,457.95
Indore,2025-03-22,March,31.02,489.65
Indore,2025-03-23,March,32.44,529.84
Indore,2025-03-24,March,33.52,522.47
Indore,2025-03-25,March,29.98,491.22
Indore,2025-03-26,March,32.92,560.62
Indore,2025-03-27,March,30.8,593.96
Indore,2025-03-28,March,32.92,498.29
Indore,2025-03-29,March,28.74,541.42
Indore,2025-03-30,March,28.85,477.56
Indore,2025-03-31,March,32.48,472.95
Indore,2025-04-01,April,38.88,590.92
Indore,2025-04-02,April,39.51,717.18
Indore,2025-04-03,April,34.2,732.95
Indore,2025-04-04,April,40.03,647.56
Indore,2025-04-05,April,42.7,567.07
Indore,2025-04-06,April,37.15,708.53
Indore,2025-04-07,April,34.15,559.59
Indore,2025-04-08,April,43.21,652.11
Indore,2025-04-09,April,40.67,614.95
Indore,2025-04-10,April,43.16,576.96
Indore,2025-04-11,April,42.69,657.76
Indore,2025-04-12,April,42.45,640.87
Indore,2025-04-13,April,41.16,591.5
Indore,2025-04-14,April,35.88,650.81
Indore,2025-04-15,April,38.03,744.97
Indore,2025-04-16,April,39.33,642.96
Indore,2025-04-17,April,34.77,698.25
Indore,2025-04-18,April,35.3,698.09
Indore,2025-04-19,April,42.53,740.25
Indore,2025-04-20,April,39.24,706.66
Indore,2025-04-21,April,41.18,619.98
Indore,2025-04-22,April,39.35,713.31
Indore,2025-04-23,April,42.15,599.34
Indore,2025-04-24,April,42.78,747.63
Indore,2025-04-25,April,37.17,682.41
Indore,2025-04-26,April,35.1,657.06
Indore,2025-04-27,April,36.86,574.93
Indore,2025-04-28,April,39.3,571.44
Indore,2025-04-29,April,34.45,550.05
Indore,2025-04-30,April,35.91,560.97
Indore,2025-05-01,May,36.55,633.15
Indore,2025-05-02,May,36.96,743.91
Indore,2025-05-03,May,38.07,648.08
Indore,2025-05-04,May,40.05,742.78
Indore,2025-05-05,May,42.01,632.2
Indore,2025-05-06,May,42.88,660.75
Indore,2025-05-07,May,42.39,644.3
Indore,2025-05-08,May,42.12,700.01
Indore,2025-05-09,May,34.76,692.93
Indore,2025-05-10,May,38.67,724.49
Indore,2025-05-11,May,34.35,696.29
Indore,2025-05-12,May,36.04,701.11
Indore,2025-05-13,May,37.62,579.2
Indore,2025-05-14,May,38.65,584.06
Indore,2025-05-15,May,38.22,552.1
Indore,2025-05-16,May,40.36,716.98
Indore,2025-05-17,May,34.55,731.12
Indore,2025-05-18,May,34.63,621.31
Indore,2025-05-19,May,40.03,673.65
Indore,2025-05-20,May,43.32,704.33
Indore,2025-05-21,May,34.63,731.8
Indore,2025-05-22,May,42.16,634.4
Indore,2025-05-23,May,40.93,665.57
Indore,2025-05-24,May,39.28,609.12
Indore,2025-05-25,May,35.58,697.16
Indore,2025-05-26,May,35.05,637.07
Indore,2025-05-27,May,36.81,744.5
Indore,2025-05-28,May,40.23,742.42
Indore,2025-05-29,May,34.26,552.18
Indore,2025-05-30,May,42.51,680.49
Indore,2025-05-31,May,37.27,680.03
Indore,2025-06-01,June,38.23,733.01
Indore,2025-06-02,June,43.42,730.64
Indore,2025-06-03,June,42.32,597.5
Indore,2025-06-04,June,34.26,685.35
Indore,2025-06-05,June,40.43,570.95
Indore,2025-06-06,June,35.43,745.65
Indore,2025-06-07,June,41.16,577.16
Indore,2025-06-08,June,41.15,638.29
Indore,2025-06-09,June,39.0,584.2
Indore,2025-06-10,June,36.38,730.35
Indore,2025-06-11,June,34.83,585.54
Indore,2025-06-12,June,42.6,567.48
Indore,2025-06-13,June,38.49,653.76
Indore,2025-06-14,June,39.56,673.28
Indore,2025-06-15,June,39.01,646.61
Indore,2025-06-16,June,42.62,607.93
Indore,2025-06-17,June,35.55,557.08
Indore,2025-06-18,June,34.33,686.17
Indore,2025-06-19,June,35.83,712.22
Indore,2025-06-20,June,37.77,669.46
Indore,2025-06-21,June,38.96,613.92
Indore,2025-06-22,June,36.75,652.97
Indore,2025-06-23,June,39.3,558.6
Indore,2025-06-24,June,37.8,592.78
Indore,2025-06-25,June,36.16,707.92
Indore,2025-06-26,June,34.01,590.82
Indore,2025-06-27,June,35.9,606.98
Indore,2025-06-28,June,38.42,658.52
Indore,2025-06-29,June,34.82,717.82
Indore,2025-06-30,June,42.97,650.11
Indore,2025-07-01,July,42.11,553.8
Indore,2025-07-02,July,37.49,564.71
Indore,2025-07-03,July,39.35,715.38
Indore,2025-07-04,July,35.82,643.39
Indore,2025-07-05,July,40.88,659.23
Indore,2025-07-06,July,38.55,560.86
Indore,2025-07-07,July,34.56,695.5
Indore,2025-07-08,July,42.96,558.64
Indore,2025-07-09,July,40.79,615.97
Indore,2025-07-10,July,40.79,664.69
Indore,2025-07-11,July,43.11,727.45
Indore,2025-07-12,July,35.59,590.08
Indore,2025-07-13,July,36.44,669.1
Indore,2025-07-14,July,39.43,596.84
Indore,2025-07-15,July,43.42,692.05
Indore,2025-07-16,July,36.19,664.67
Indore,2025-07-17,July,37.78,720.54
Indore,2025-07-18,July,37.08,659.78
Indore,2025-07-19,July,34.46,572.6
Indore,2025-07-20,July,38.02,591.46
Indore,2025-07-21,July,42.34,728.58
Indore,2025-07-22,July,37.88,628.58
Indore,2025-07-23,July,37.96,597.12
Indore,2025-07-24,July,43.34,678.6
Indore,2025-07-25,July,41.04,725.77
Indore,2025-07-26,July,34.33,662.62
Indore,2025-07-27,July,39.13,568.28
Indore,2025-07-28,July,40.01,733.55
Indore,2025-07-29,July,43.21,585.33
Indore,2025-07-30,July,41.65,640.79
Indore,2025-07-31,July,42.88,600.19
Indore,2025-08-01,August,31.82,506.41
Indore,2025-08-02,August,28.32,466.08
Indore,2025-08-03,August,30.34,549.98
Indore,2025-08-04,August,32.53,573.44
Indore,2025-08-05,August,30.9,586.95
Indore,2025-08-06,August,30.63,554.7
Indore,2025-08-07,August,30.1,481.16
Indore,2025-08-08,August,31.88,476.6
Indore,2025-08-09,August,28.3,518.62
Indore,2025-08-10,August,32.09,591.76
Indore,2025-08-11,August,33.27,578.7
Indore,2025-08-12,August,29.24,546.65
Indore,2025-08-13,August,28.82,531.95
Indore,2025-08-14,August,30.17,599.87
Indore,2025-08-15,August,30.72,477.03
Indore,2025-08-16,August,32.86,558.56
Indore,2025-08-17,August,30.53,583.65
Indore,2025-08-18,August,32.15,530.73
Indore,2025-08-19,August,29.61,574.36
Indore,2025-08-20,August,30.5,492.51
Indore,2025-08-21,August,33.92,470.9
Indore,2025-08-22,August,31.11,480.53
Indore,2025-08-23,August,29.04,492.87
Indore,2025-08-24,August,29.76,520.27
Indore,2025-08-25,August,34.13,543.37
Indore,2025-08-26,August,28.19,498.31
Indore,2025-08-27,August,29.85,463.72
Indore,2025-08-28,August,29.81,542.87
Indore,2025-08-29,August,28.46,561.57
Indore,2025-08-30,August,28.36,568.9
Indore,2025-08-31,August,32.57,567.13
Indore,2025-09-01,September,30.08,588.4
Indore,2025-09-02,September,30.85,487.28
Indore,2025-09-03,September,34.08,491.41
Indore,2025-09-04,September,29.65,576.71
Indore,2025-09-05,September,28.95,572.19
Indore,2025-09-06,September,29.19,471.67
Indore,2025-09-07,September,30.94,594.72
Indore,2025-09-08,September,31.83,573.94
Indore,2025-09-09,September,33.17,585.02
Indore,2025-09-10,September,33.25,491.69
Indore,2025-09-11,September,28.9,464.54
Indore,2025-09-12,September,34.52,593.11
Indore,2025-09-13,September,32.72,457.03
Indore,2025-09-14,September,32.31,548.09
Indore,2025-09-15,September,34.48,452.39
Indore,2025-09-16,September,28.32,568.71
Indore,2025-09-17,September,32.49,529.48
Indore,2025-09-18,September,33.45,569.34
Indore,2025-09-19,September,29.38,469.32
Indore,2025-09-20,September,34.46,484.94
