City,Year,Month,Date,Temperature (°C),Total_Consumption_kWh
Bhopal,2019,February,21-02-2019,17.4,2723
Bhopal,2019,February,22-02-2019,17,3546
Bhopal,2019,February,23-02-2019,17.5,2126
Bhopal,2019,February,24-02-2019,18.4,2253
Bhopal,2019,February,25-02-2019,19.1,3578
Bhopal,2019,February,26-02-2019,18.6,2248
Bhopal,2019,February,27-02-2019,19.7,3074
Bhopal,2019,February,28-02-2019,20.1,1699
Bhopal,2019,March,01-03-2019,25.5,3764
Bhopal,2019,March,02-03-2019,29.2,2053
Bhopal,2019,March,03-03-2019,28.3,1840
Bhopal,2019,March,04-03-2019,27.4,3376
Bhopal,2019,March,05-03-2019,27.5,2206
Bhopal,2019,March,06-03-2019,29.6,2860
Bhopal,2019,March,07-03-2019,28.5,3130
Bhopal,2019,March,08-03-2019,29.4,2552
Bhopal,2019,March,09-03-2019,28.4,2979
Bhopal,2019,March,10-03-2019,29,2435
Bhopal,2019,March,11-03-2019,28.2,3203
Bhopal,2019,March,12-03-2019,27.3,2180
Bhopal,2019,March,13-03-2019,28.7,3058
Bhopal,2019,March,14-03-2019,27.1,3124
Bhopal,2019,March,15-03-2019,25.9,2470
Bhopal,2019,March,16-03-2019,25.5,2078
Bhopal,2019,March,17-03-2019,25.1,3231
Bhopal,2019,March,18-03-2019,24.1,2561
Bhopal,2019,March,19-03-2019,22.6,2050
Bhopal,2019,March,20-03-2019,23.6,3704
Bhopal,2019,March,21-03-2019,24.6,3387
Bhopal,2019,March,22-03-2019,23.2,2868
Bhopal,2019,March,23-03-2019,23.3,3022
Bhopal,2019,March,24-03-2019,21.7,3212
Bhopal,2019,March,25-03-2019,22.1,3602
Bhopal,2019,March,26-03-2019,23.8,2407
Bhopal,2019,March,27-03-2019,23.2,4212
Bhopal,2019,March,28-03-2019,24.2,3447
Bhopal,2019,March,29-03-2019,24.6,2569
Bhopal,2019,March,30-03-2019,26.1,2537
Bhopal,2019,March,31-03-2019,25.2,3120
Bhopal,2019,April,01-04-2019,31.7,3721
Bhopal,2019,April,02-04-2019,32.8,3627
Bhopal,2019,April,03-04-2019,34.3,3899
Bhopal,2019,April,04-04-2019,34,2544
Bhopal,2019,April,05-04-2019,35.2,3530
Bhopal,2019,April,06-04-2019,35.3,3386
Bhopal,2019,April,07-04-2019,34.1,2641
Bhopal,2019,April,08-04-2019,35.8,3379
Bhopal,2019,April,09-04-2019,35.6,4286
Bhopal,2019,April,10-04-2019,34.1,3797
Bhopal,2019,April,11-04-2019,34.7,3579
Bhopal,2019,April,12-04-2019,34.8,2952
Bhopal,2019,April,13-04-2019,33.1,2995
Bhopal,2019,April,14-04-2019,32.6,3384
Bhopal,2019,April,15-04-2019,31.5,3984
Bhopal,2019,April,16-04-2019,31.4,2778
Bhopal,2019,April,17-04-2019,30.5,3147
Bhopal,2019,April,18-04-2019,29.5,3407
Bhopal,2019,April,19-04-2019,30.1,3944
Bhopal,2019,April,20-04-2019,28.6,3023
Bhopal,2019,April,21-04-2019,28.2,2880
Bhopal,2019,April,22-04-2019,29.1,3272
Bhopal,2019,April,23-04-2019,30.3,4533
Bhopal,2019,April,24-04-2019,29.1,3427
Bhopal,2019,April,25-04-2019,29.4,3903
Bhopal,2019,April,26-04-2019,29.1,2155
Bhopal,2019,April,27-04-2019,31.7,3125
Bhopal,2019,April,28-04-2019,30.8,3571
Bhopal,2019,April,29-04-2019,32.6,4243
Bhopal,2019,April,30-04-2019,32.3,2440
Bhopal,2019,May,01-05-2019,38.1,3705
Bhopal,2019,May,02-05-2019,36.7,4080
Bhopal,2019,May,03-05-2019,36.9,3998
Bhopal,2019,May,04-05-2019,38,2754
Bhopal,2019,May,05-05-2019,38.2,3994
Bhopal,2019,May,06-05-2019,37.7,3896
Bhopal,2019,May,07-05-2019,38.8,4352
Bhopal,2019,May,08-05-2019,38.9,4705
Bhopal,2019,May,09-05-2019,39.3,3178
Bhopal,2019,May,10-05-2019,38.2,2404
Bhopal,2019,May,11-05-2019,38.9,3478
Bhopal,2019,May,12-05-2019,37.9,3564
Bhopal,2019,May,13-05-2019,37.3,3808
Bhopal,2019,May,14-05-2019,37.6,3568
Bhopal,2019,May,15-05-2019,35.5,3428
Bhopal,2019,May,16-05-2019,35.7,4164
Bhopal,2019,May,17-05-2019,36.7,3174
Bhopal,2019,May,18-05-2019,36.7,2961
Bhopal,2019,May,19-05-2019,35.5,2214
Bhopal,2019,May,20-05-2019,34.9,3197
Bhopal,2019,May,21-05-2019,33.7,3156
Bhopal,2019,May,22-05-2019,34.2,4175
Bhopal,2019,May,23-05-2019,33.9,3028
Bhopal,2019,May,24-05-2019,32.9,4138
Bhopal,2019,May,25-05-2019,33.8,3272
Bhopal,2019,May,26-05-2019,33.4,3305
Bhopal,2019,May,27-05-2019,34.3,4479
Bhopal,2019,May,28-05-2019,35.5,3617
Bhopal,2019,May,29-05-2019,35.2,3457
Bhopal,2019,May,30-05-2019,36.5,4139
Bhopal,2019,May,31-05-2019,35.5,3121
Bhopal,2019,June,01-06-2019,38.5,2806
Bhopal,2019,June,02-06-2019,40.3,3688
Bhopal,2019,June,03-06-2019,38.9,3996
Bhopal,2019,June,04-06-2019,39.9,3146
Bhopal,2019,June,05-06-2019,41.6,3759
Bhopal,2019,June,06-06-2019,40.1,3041
Bhopal,2019,June,07-06-2019,39.9,3118
Bhopal,2019,June,08-06-2019,40.9,3731
Bhopal,2019,June,09-06-2019,40.1,3159
Bhopal,2019,June,10-06-2019,39.7,4373
Bhopal,2019,June,11-06-2019,40.4,3737
Bhopal,2019,June,12-06-2019,38.3,3807
Bhopal,2019,June,13-06-2019,40.2,3600
Bhopal,2019,June,14-06-2019,38.5,3428
Bhopal,2019,June,15-06-2019,37.1,2915
Bhopal,2019,June,16-06-2019,37.8,3580
Bhopal,2019,June,17-06-2019,37.4,3954
Bhopal,2019,June,18-06-2019,36.2,2833
Bhopal,2019,June,19-06-2019,34.7,3796
Bhopal,2019,June,20-06-2019,34.6,4198
Bhopal,2019,June,21-06-2019,34.7,4194
Bhopal,2019,June,22-06-2019,36,3259
Bhopal,2019,June,23-06-2019,34.1,3027
Bhopal,2019,June,24-06-2019,36.9,3867
Bhopal,2019,June,25-06-2019,35.2,3240
Bhopal,2019,June,26-06-2019,36.7,2942
Bhopal,2019,June,27-06-2019,36.5,3809
Bhopal,2019,June,28-06-2019,38.2,4442
Bhopal,2019,June,29-06-2019,39.1,3269
Bhopal,2019,June,30-06-2019,37.6,3914
Bhopal,2019,July,01-07-2019,37.9,3547
Bhopal,2019,July,02-07-2019,38.8,3502
Bhopal,2019,July,03-07-2019,39.4,3619
Bhopal,2019,July,04-07-2019,39.9,2960
Bhopal,2019,July,05-07-2019,39.3,4201
Bhopal,2019,July,06-07-2019,38.8,3359
Bhopal,2019,July,07-07-2019,39.4,2490
Bhopal,2019,July,08-07-2019,39.7,3970
Bhopal,2019,July,09-07-2019,40.4,4223
Bhopal,2019,July,10-07-2019,38,4379
Bhopal,2019,July,11-07-2019,39.2,3562
Bhopal,2019,July,12-07-2019,38,3909
Bhopal,2019,July,13-07-2019,38.6,3966
Bhopal,2019,July,14-07-2019,37.5,4038
Bhopal,2019,July,15-07-2019,37.3,3330
Bhopal,2019,July,16-07-2019,36.7,2890
Bhopal,2019,July,17-07-2019,35.8,3146
Bhopal,2019,July,18-07-2019,36.7,4102
Bhopal,2019,July,19-07-2019,34.8,4190
Bhopal,2019,July,20-07-2019,34.3,3621
Bhopal,2019,July,21-07-2019,33.1,2815
Bhopal,2019,July,22-07-2019,33.6,2971
Bhopal,2019,July,23-07-2019,33.8,3927
Bhopal,2019,July,24-07-2019,33.5,4571
Bhopal,2019,July,25-07-2019,32.6,4160
Bhopal,2019,July,26-07-2019,34.4,3152
Bhopal,2019,July,27-07-2019,35.5,3112
Bhopal,2019,July,28-07-2019,35.2,3729
Bhopal,2019,July,29-07-2019,36.2,4223
Bhopal,2019,July,30-07-2019,36.2,3080
Bhopal,2019,July,31-07-2019,36.9,3499
Bhopal,2019,August,01-08-2019,36.2,4111
Bhopal,2019,August,02-08-2019,36.5,3251
Bhopal,2019,August,03-08-2019,39.4,3875
Bhopal,2019,August,04-08-2019,38.2,4062
Bhopal,2019,August,05-08-2019,39,3226
Bhopal,2019,August,06-08-2019,38.7,3839
Bhopal,2019,August,07-08-2019,39.1,4021
Bhopal,2019,August,08-08-2019,40.5,3156
Bhopal,2019,August,09-08-2019,39.3,5216
Bhopal,2019,August,10-08-2019,38.7,3716
Bhopal,2019,August,11-08-2019,36.2,3348
Bhopal,2019,August,12-08-2019,38.6,3194
Bhopal,2019,August,13-08-2019,38.2,3939
Bhopal,2019,August,14-08-2019,37.7,3708
Bhopal,2019,August,15-08-2019,36.9,4007
Bhopal,2019,August,16-08-2019,35.9,4209
Bhopal,2019,August,17-08-2019,35.2,3997
Bhopal,2019,August,18-08-2019,33.5,4334
Bhopal,2019,August,19-08-2019,32.9,3943
Bhopal,2019,August,20-08-2019,33.1,3893
Bhopal,2019,August,21-08-2019,32.6,3893
Bhopal,2019,August,22-08-2019,33.9,3727
Bhopal,2019,August,23-08-2019,33.1,3079
Bhopal,2019,August,24-08-2019,34.2,2978
Bhopal,2019,August,25-08-2019,33.8,3688
Bhopal,2019,August,26-08-2019,33.9,3170
Bhopal,2019,August,27-08-2019,33.7,4102
Bhopal,2019,August,28-08-2019,36.1,3852
Bhopal,2019,August,29-08-2019,34,3399
Bhopal,2019,August,30-08-2019,36.2,4509
Bhopal,2019,August,31-08-2019,35,3576
Bhopal,2019,September,01-09-2019,33.3,3598
Bhopal,2019,September,02-09-2019,34.2,3260
Bhopal,2019,September,03-09-2019,33.2,4378
Bhopal,2019,September,04-09-2019,35.9,3617
Bhopal,2019,September,05-09-2019,36.7,3739
Bhopal,2019,September,06-09-2019,36,3724
Bhopal,2019,September,07-09-2019,36.2,3428
Bhopal,2019,September,08-09-2019,34.6,3919
Bhopal,2019,September,09-09-2019,35.1,3421
Bhopal,2019,September,10-09-2019,34.9,3968
Bhopal,2019,September,11-09-2019,36.1,3107
Bhopal,2019,September,12-09-2019,34.7,3790
Bhopal,2019,September,13-09-2019,34.5,4809
Bhopal,2019,September,14-09-2019,34,4099
Bhopal,2019,September,15-09-2019,33,2505
Bhopal,2019,September,16-09-2019,31.4,2846
Bhopal,2019,September,17-09-2019,33,3116
Bhopal,2019,September,18-09-2019,31.9,4071
Bhopal,2019,September,19-09-2019,29.7,3804
Bhopal,2019,September,20-09-2019,30.2,3786
Bhopal,2019,September,21-09-2019,30.7,3821
Bhopal,2019,September,22-09-2019,29,3495
Bhopal,2019,September,23-09-2019,30.6,3600
Bhopal,2019,September,24-09-2019,31.4,3593
Bhopal,2019,September,25-09-2019,29.9,3631
Bhopal,2019,September,26-09-2019,31.2,3935
Bhopal,2019,September,27-09-2019,30.1,4274
Bhopal,2019,September,28-09-2019,32.4,3194
Bhopal,2019,September,29-09-2019,32.6,3743
Bhopal,2019,September,30-09-2019,32.4,3319
Bhopal,2019,October,01-10-2019,28.7,2969
Bhopal,2019,October,02-10-2019,31,3108
Bhopal,2019,October,03-10-2019,31.6,2911
Bhopal,2019,October,04-10-2019,31.3,3274
Bhopal,2019,October,05-10-2019,31.8,2569
Bhopal,2019,October,06-10-2019,30.6,2456
Bhopal,2019,October,07-10-2019,32.8,3310
Bhopal,2019,October,08-10-2019,31.8,3045
Bhopal,2019,October,09-10-2019,33,2915
Bhopal,2019,October,10-10-2019,31.9,3614
Bhopal,2019,October,11-10-2019,30.1,2617
Bhopal,2019,October,12-10-2019,30.2,3213
Bhopal,2019,October,13-10-2019,29.5,3264
Bhopal,2019,October,14-10-2019,30.4,3145
Bhopal,2019,October,15-10-2019,29.5,3164
Bhopal,2019,October,16-10-2019,29,2885
Bhopal,2019,October,17-10-2019,28,1830
Bhopal,2019,October,18-10-2019,29,2373
Bhopal,2019,October,19-10-2019,28.5,2824
Bhopal,2019,October,20-10-2019,26.7,2833
Bhopal,2019,October,21-10-2019,27.1,3242
Bhopal,2019,October,22-10-2019,26.3,3153
Bhopal,2019,October,23-10-2019,24.3,3137
Bhopal,2019,October,24-10-2019,25.9,2352
Bhopal,2019,October,25-10-2019,26,3207
Bhopal,2019,October,26-10-2019,26.4,2074
Bhopal,2019,October,27-10-2019,26.9,2425
Bhopal,2019,October,28-10-2019,26.7,3141
Bhopal,2019,October,29-10-2019,28.3,2935
Bhopal,2019,October,30-10-2019,27.7,2039
Bhopal,2019,October,31-10-2019,27.6,2923
Bhopal,2019,November,01-11-2019,24.4,3199
Bhopal,2019,November,02-11-2019,24.9,2645
Bhopal,2019,November,03-11-2019,27.1,3000
Bhopal,2019,November,04-11-2019,26.1,2897
Bhopal,2019,November,05-11-2019,28.6,2386
Bhopal,2019,November,06-11-2019,27.2,2919
Bhopal,2019,November,07-11-2019,27.6,3562
Bhopal,2019,November,08-11-2019,28.4,3196
Bhopal,2019,November,09-11-2019,27.5,2594
Bhopal,2019,November,10-11-2019,26.4,2539
Bhopal,2019,November,11-11-2019,26.5,3239
Bhopal,2019,November,12-11-2019,23.8,2353
Bhopal,2019,November,13-11-2019,25.1,2545
Bhopal,2019,November,14-11-2019,24.9,3216
Bhopal,2019,November,15-11-2019,23.8,2209
Bhopal,2019,November,16-11-2019,22.9,2760
Bhopal,2019,November,17-11-2019,23.3,3531
Bhopal,2019,November,18-11-2019,22,2816
Bhopal,2019,November,19-11-2019,21.5,2255
Bhopal,2019,November,20-11-2019,21.6,2246
Bhopal,2019,November,21-11-2019,21.3,3117
Bhopal,2019,November,22-11-2019,20.3,2991
Bhopal,2019,November,23-11-2019,22,1691
Bhopal,2019,November,24-11-2019,21.2,2761
Bhopal,2019,November,25-11-2019,21.5,2300
Bhopal,2019,November,26-11-2019,21.2,2959
Bhopal,2019,November,27-11-2019,21.9,2867
Bhopal,2019,November,28-11-2019,23.1,2774
Bhopal,2019,November,29-11-2019,23.6,2955
Bhopal,2019,November,30-11-2019,23.2,3064
Bhopal,2019,December,01-12-2019,21.5,2457
Bhopal,2019,December,02-12-2019,18.5,3168
Bhopal,2019,December,03-12-2019,20.3,2255
Bhopal,2019,December,04-12-2019,22.1,3575
Bhopal,2019,December,05-12-2019,21.1,3719
Bhopal,2019,December,06-12-2019,22.1,3464
Bhopal,2019,December,07-12-2019,22.7,3506
Bhopal,2019,December,08-12-2019,22.6,2930
Bhopal,2019,December,09-12-2019,22.5,3598
Bhopal,2019,December,10-12-2019,21,2677
Bhopal,2019,December,11-12-2019,21.4,3395
Bhopal,2019,December,12-12-2019,21.5,3341
Bhopal,2019,December,13-12-2019,20.9,2931
Bhopal,2019,December,14-12-2019,20,2649
Bhopal,2019,December,15-12-2019,19.9,2706
Bhopal,2019,December,16-12-2019,19.5,2979
Bhopal,2019,December,17-12-2019,18.7,3617
Bhopal,2019,December,18-12-2019,17.2,2167
Bhopal,2019,December,19-12-2019,16.4,2394
Bhopal,2019,December,20-12-2019,17,2436
Bhopal,2019,December,21-12-2019,17.5,2143
Bhopal,2019,December,22-12-2019,16.4,2019
Bhopal,2019,December,23-12-2019,16.9,2898
Bhopal,2019,December,24-12-2019,16.4,2855
Bhopal,2019,December,25-12-2019,16.1,3412
Bhopal,2019,December,26-12-2019,15.5,2889
Bhopal,2019,December,27-12-2019,17.6,2338
Bhopal,2019,December,28-12-2019,16.9,2639
Bhopal,2019,December,29-12-2019,18.2,3357
Bhopal,2019,December,30-12-2019,17.1,3508
Bhopal,2019,December,31-12-2019,19,2543
Bhopal,2020,January,01-01-2020,17.1,2414
Bhopal,2020,January,02-01-2020,19.1,2568
Bhopal,2020,January,03-01-2020,19,3019
Bhopal,2020,January,04-01-2020,17.5,2372
Bhopal,2020,January,05-01-2020,19.8,1257
Bhopal,2020,January,06-01-2020,19.5,2411
Bhopal,2020,January,07-01-2020,20.4,2469
Bhopal,2020,January,08-01-2020,19.5,2508
Bhopal,2020,January,09-01-2020,21.3,3072
Bhopal,2020,January,10-01-2020,19.7,3020
Bhopal,2020,January,11-01-2020,17.9,3670
Bhopal,2020,January,12-01-2020,18.9,2386
Bhopal,2020,January,13-01-2020,18.7,2977
Bhopal,2020,January,14-01-2020,18.5,3074
Bhopal,2020,January,15-01-2020,17.5,3659
Bhopal,2020,January,16-01-2020,16.5,3094
Bhopal,2020,January,17-01-2020,15.7,2256
Bhopal,2020,January,18-01-2020,16.7,2483
Bhopal,2020,January,19-01-2020,14.9,2722
Bhopal,2020,January,20-01-2020,13.3,2335
Bhopal,2020,January,21-01-2020,13.3,2217
Bhopal,2020,January,22-01-2020,14.5,3088
Bhopal,2020,January,23-01-2020,13.7,2926
Bhopal,2020,January,24-01-2020,14.4,3074
Bhopal,2020,January,25-01-2020,13.7,3666
Bhopal,2020,January,26-01-2020,15.5,2274
Bhopal,2020,January,27-01-2020,14.9,3597
Bhopal,2020,January,28-01-2020,15.9,3159
Bhopal,2020,January,29-01-2020,15.9,1937
Bhopal,2020,January,30-01-2020,16.2,1794
Bhopal,2020,January,31-01-2020,15.9,2210
Bhopal,2020,February,01-02-2020,20.3,3256
Bhopal,2020,February,02-02-2020,21.1,1670
Bhopal,2020,February,03-02-2020,23.4,3299
Bhopal,2020,February,04-02-2020,22.7,2365
Bhopal,2020,February,05-02-2020,21.7,3568
Bhopal,2020,February,06-02-2020,21.7,2805
Bhopal,2020,February,07-02-2020,22.2,3197
Bhopal,2020,February,08-02-2020,21.6,3222
Bhopal,2020,February,09-02-2020,22.9,3495
Bhopal,2020,February,10-02-2020,23,2817
Bhopal,2020,February,11-02-2020,22.7,2515
Bhopal,2020,February,12-02-2020,20.3,2977
Bhopal,2020,February,13-02-2020,20.6,2742
Bhopal,2020,February,14-02-2020,20.5,3304
Bhopal,2020,February,15-02-2020,20.4,1531
Bhopal,2020,February,16-02-2020,19.6,2493
Bhopal,2020,February,17-02-2020,19.4,2821
Bhopal,2020,February,18-02-2020,18.6,2924
Bhopal,2020,February,19-02-2020,16.8,3015
Bhopal,2020,February,20-02-2020,18.5,2188
Bhopal,2020,February,21-02-2020,17.3,3155
Bhopal,2020,February,22-02-2020,17.9,2073
Bhopal,2020,February,23-02-2020,18.1,2525
Bhopal,2020,February,24-02-2020,17.6,3283
Bhopal,2020,February,25-02-2020,17.1,3324
Bhopal,2020,February,26-02-2020,17.8,2801
Bhopal,2020,February,27-02-2020,18.9,3215
Bhopal,2020,February,28-02-2020,19.7,3156
Bhopal,2020,February,29-02-2020,21,2426
Bhopal,2020,March,01-03-2020,25.6,2476
Bhopal,2020,March,02-03-2020,26,3110
Bhopal,2020,March,03-03-2020,27.3,3019
Bhopal,2020,March,04-03-2020,26.9,2150
Bhopal,2020,March,05-03-2020,28.3,2557
Bhopal,2020,March,06-03-2020,28.7,4008
Bhopal,2020,March,07-03-2020,27.8,2907
Bhopal,2020,March,08-03-2020,29.4,2919
Bhopal,2020,March,09-03-2020,28.2,3286
Bhopal,2020,March,10-03-2020,29.1,3047
Bhopal,2020,March,11-03-2020,27.4,2506
Bhopal,2020,March,12-03-2020,28.5,3275
Bhopal,2020,March,13-03-2020,27.7,2251
Bhopal,2020,March,14-03-2020,26.2,2445
Bhopal,2020,March,15-03-2020,25.5,2576
Bhopal,2020,March,16-03-2020,25.4,2848
Bhopal,2020,March,17-03-2020,25.8,3223
Bhopal,2020,March,18-03-2020,23.9,2754
Bhopal,2020,March,19-03-2020,24.3,3389
Bhopal,2020,March,20-03-2020,25.6,2764
Bhopal,2020,March,21-03-2020,21.6,2670
Bhopal,2020,March,22-03-2020,21.7,2503
Bhopal,2020,March,23-03-2020,23.1,2914
Bhopal,2020,March,24-03-2020,25,2860
Bhopal,2020,March,25-03-2020,24.4,3166
Bhopal,2020,March,26-03-2020,24.5,2731
Bhopal,2020,March,27-03-2020,25.1,4197
Bhopal,2020,March,28-03-2020,23.2,2279
Bhopal,2020,March,29-03-2020,25.2,3519
Bhopal,2020,March,30-03-2020,26.3,3102
Bhopal,2020,March,31-03-2020,25.7,3333
Bhopal,2020,April,01-04-2020,33.2,4584
Bhopal,2020,April,02-04-2020,33.3,4400
Bhopal,2020,April,03-04-2020,33.9,3531
Bhopal,2020,April,04-04-2020,33.5,3666
Bhopal,2020,April,05-04-2020,36.3,4326
Bhopal,2020,April,06-04-2020,34.3,3376
Bhopal,2020,April,07-04-2020,35.4,4671
Bhopal,2020,April,08-04-2020,34.8,3023
Bhopal,2020,April,09-04-2020,36.5,4190
Bhopal,2020,April,10-04-2020,34.7,4396
Bhopal,2020,April,11-04-2020,33.2,3529
Bhopal,2020,April,12-04-2020,34.7,3576
Bhopal,2020,April,13-04-2020,32.2,4076
Bhopal,2020,April,14-04-2020,32.2,4016
Bhopal,2020,April,15-04-2020,33,4550
Bhopal,2020,April,16-04-2020,30.7,3434
Bhopal,2020,April,17-04-2020,30.3,3841
Bhopal,2020,April,18-04-2020,32,3067
Bhopal,2020,April,19-04-2020,30.8,2755
Bhopal,2020,April,20-04-2020,30,3560
Bhopal,2020,April,21-04-2020,28.1,3828
Bhopal,2020,April,22-04-2020,29.1,4088
Bhopal,2020,April,23-04-2020,29.1,4358
Bhopal,2020,April,24-04-2020,30.1,3592
Bhopal,2020,April,25-04-2020,29.7,3136
Bhopal,2020,April,26-04-2020,29.6,3835
Bhopal,2020,April,27-04-2020,29.9,2922
Bhopal,2020,April,28-04-2020,30.7,4240
Bhopal,2020,April,29-04-2020,30.8,4181
Bhopal,2020,April,30-04-2020,32.9,3988
Bhopal,2020,May,01-05-2020,36.5,3567
Bhopal,2020,May,02-05-2020,37.5,4215
Bhopal,2020,May,03-05-2020,38.2,2888
Bhopal,2020,May,04-05-2020,37.8,4200
Bhopal,2020,May,05-05-2020,38.3,4116
Bhopal,2020,May,06-05-2020,38.5,4815
Bhopal,2020,May,07-05-2020,38.1,3993
Bhopal,2020,May,08-05-2020,38.4,3116
Bhopal,2020,May,09-05-2020,39.6,3291
Bhopal,2020,May,10-05-2020,38.3,3296
Bhopal,2020,May,11-05-2020,39,3269
Bhopal,2020,May,12-05-2020,38.1,3744
Bhopal,2020,May,13-05-2020,38,3893
Bhopal,2020,May,14-05-2020,37.1,3998
Bhopal,2020,May,15-05-2020,35.4,3779
Bhopal,2020,May,16-05-2020,35.7,2489
Bhopal,2020,May,17-05-2020,35.4,3575
Bhopal,2020,May,18-05-2020,35.6,3020
Bhopal,2020,May,19-05-2020,33.1,4336
Bhopal,2020,May,20-05-2020,33.9,3700
Bhopal,2020,May,21-05-2020,32.9,4061
Bhopal,2020,May,22-05-2020,34,4575
Bhopal,2020,May,23-05-2020,33.3,3514
Bhopal,2020,May,24-05-2020,32.7,3443
Bhopal,2020,May,25-05-2020,32.8,2671
Bhopal,2020,May,26-05-2020,34.1,3858
Bhopal,2020,May,27-05-2020,34.3,4806
Bhopal,2020,May,28-05-2020,33.9,3917
Bhopal,2020,May,29-05-2020,34.6,3500
Bhopal,2020,May,30-05-2020,35.7,2967
Bhopal,2020,May,31-05-2020,35.4,2749
Bhopal,2020,June,01-06-2020,38.6,4277
Bhopal,2020,June,02-06-2020,39,3842
Bhopal,2020,June,03-06-2020,40.8,4528
Bhopal,2020,June,04-06-2020,40.4,3669
Bhopal,2020,June,05-06-2020,39.6,4446
Bhopal,2020,June,06-06-2020,41,3469
Bhopal,2020,June,07-06-2020,40.3,3328
Bhopal,2020,June,08-06-2020,43.4,3559
Bhopal,2020,June,09-06-2020,40.2,4187
Bhopal,2020,June,10-06-2020,42.4,3817
Bhopal,2020,June,11-06-2020,40.7,2995
Bhopal,2020,June,12-06-2020,39.8,3972
Bhopal,2020,June,13-06-2020,37.8,4352
Bhopal,2020,June,14-06-2020,37.6,3501
Bhopal,2020,June,15-06-2020,38.7,3733
Bhopal,2020,June,16-06-2020,36.9,4147
Bhopal,2020,June,17-06-2020,37.8,4082
Bhopal,2020,June,18-06-2020,35.7,3749
Bhopal,2020,June,19-06-2020,35.4,2555
Bhopal,2020,June,20-06-2020,36.2,2993
Bhopal,2020,June,21-06-2020,35.6,4089
Bhopal,2020,June,22-06-2020,33.9,3489
Bhopal,2020,June,23-06-2020,35.6,3080
Bhopal,2020,June,24-06-2020,34.2,4214
Bhopal,2020,June,25-06-2020,35.6,3635
Bhopal,2020,June,26-06-2020,35.9,4145
Bhopal,2020,June,27-06-2020,37,4368
Bhopal,2020,June,28-06-2020,36.1,3215
Bhopal,2020,June,29-06-2020,37.3,3783
Bhopal,2020,June,30-06-2020,39.2,3420
Bhopal,2020,July,01-07-2020,37,3787
Bhopal,2020,July,02-07-2020,37.6,4090
Bhopal,2020,July,03-07-2020,39.8,2778
Bhopal,2020,July,04-07-2020,38.3,2943
Bhopal,2020,July,05-07-2020,39.1,3901
Bhopal,2020,July,06-07-2020,38.4,3748
Bhopal,2020,July,07-07-2020,40.8,3843
Bhopal,2020,July,08-07-2020,39,4271
Bhopal,2020,July,09-07-2020,38.9,3923
Bhopal,2020,July,10-07-2020,41,3296
Bhopal,2020,July,11-07-2020,40.2,2977
Bhopal,2020,July,12-07-2020,39.5,2588
Bhopal,2020,July,13-07-2020,38.8,3868
Bhopal,2020,July,14-07-2020,37.4,3062
